trade_id,account_id,client_document,date,ticker,side,quantity,price,broker_fee,tax,currency
T1000382,A0371,cnpj: 27657102624266,07/02/2026,BBAS3,compra," 250,00 ",351.20,"0,38",3.25,BRL
T1000404,A0239,CPF: 295.596.695-91,2026-02-06,BBAS3,sell,"1,000.00"," 28,10 ",10,0,BRL
T1000371,A0375,"	67823460440
",2026/02/04,PETR4,BUY,5.00,"14,95","2,75"," 3,25 ",BRL
T1000351,A0361,cnpj: 91975873357758,2026-02-04,ABEV3,BUY," 1,00 ","10,35",25,"0,38",BRL
T1000360,A0165,CNPJ 74.367.136/9594-86,06-02-2026,BOVA11,SELL,250,14.95,0,3.25,BRL
T1000405,A0161,08.910.364/5144-91,2026-02-05,BOVA11,Compra,"250,0"," 9,85 ",2,"0,38",BRL
T1000362,A0346, CNPJ	48874966870596 ,2026/02/05,VALE3,compra,"100,0","14,95",0.38,7,BRL
T1000430,A0393,cnpj: 62082326920504, 2026-02-04 ,BOVA11,compra,"250,0",52,1,7.5,BRL
T1000422,A0278,CNPJ 71.048.189/1204-62,04-02-2026,VALE3,compra,100,38,"25,00",3,BRL
T1000799,A0131,26252286443,2026-02-04,PETR4,compra,25,14,0.38,"1,10",BRL
T1000407,A0289,41905291214101,2026-02-07,ITUB4,buy,"1,500","14,95"," 10,00 ",1.10,BRL
T1000421,A0373,"	34315568686
",2026/02/05,WEGE3, BUY ,1,52,0.38,0,BRL
T1000417,A0321,57.370.312/4970-25,05-02-2026,VALE3,Venda,100.00,"10,35",2.75,"3,25",BRL
T1000399,A0309,cnpj: 27145525967820,04-02-2026,ABEV3,VENDA,"1,000.00",38.4,"2,75",0,BRL
T1000352,A0281,61446273598,04-02-2026,WEGE3,venda,"10,00","9,85",0.00,1,BRL
T1000419,A0176,CNPJ 75.226.043/0796-07,05/02/2026,PETR4,sell,25," 52,10 ","25,00","0,10",BRL
T1000656,A0167,CNPJ 74.367.136/9594-86,2026/02/06,VALE3,B,100.00,"10,35",0,0.38,BRL
T1000304,A0380,Documento 480.340.231-08, 2026-02-07 ,ABEV3, SELL ,"100,0",351,"0,38"," 0,10 ",BRL
T1000140,A0255, cpf 82591964416 ,06-02-2026,BOVA11,Compra," 100,00 "," 14,95 ","2,75",0,BRL
T1000398,A0106,"	54646688611
",03-02-2026,PETR4,VENDA,1,"351,20","2,75",3,BRL
T1000426,A0096,95904493336786,2026-02-07,PETR4,B,10.00,"52,10"," 25,00 ",3,BRL
T1000408,A0395,CNPJ 08.931.583/5341-30, 2026-02-03 ,WEGE3,venda,"5,0",351,"1,5","0,00",BRL
T1000396,A0356,60.652.374/0202-20, 2026-02-06 ,ITUB4,BUY,"-1,000",9.85,25,0.38,BRL
T1000028,A0045,CPF: 399.821.959-56,05-02-2026,ITUB4,B,"1,000",52,"0,38","3,25",BRL
T1000372,A0344,54.365.231/3622-08,2026/02/03,BOVA11,VENDA,10,"28,1",1.5,7.50,BRL
