trade_id;account_id;client_document;date;ticker;side;quantity;price;broker_fee;tax;currency
T1000794;A0076;CNPJ 74.367.136/9594-86;05/02/2026;ABEV3;Venda;25;10;25;0.1;BRL
T1000169;A0041;Documento 890.038.456-20;05/02/2026;ITUB4;Compra;1; 10,35 ; 1,50 ;3.25;BRL
T1000119;A0142;51.125.513/6503-77;07/02/2026;ITUB4;VENDA;1,000;14;10; 7,50 ;BRL
T1000803;A0240;Documento 548.724.568-15;04-02-2026;ITUB4;buy;10;28,10;2,75;1,10;BRL
T1000465;A0209; CNPJ	97329252896730 ;2026-02-05;BOVA11; BUY ;25;14.95;1.5;0;BRL
T1000778;A0116;Documento 181.460.913-00;2026/02/06;BBAS3;compra;25;14,95;2,75;0;BRL
T1000797;A0363;65095707853; 2026-02-05 ;PETR4;sell;100;52,10;1.50;0.1;BRL
T1000821;A0374;Documento 139.003.291-41;06/02/2026;VALE3;Compra;25;122,56;2.75;0;BRL
T1000848;A0002;39.832.358/7027-30;05/02/2026;BOVA11;sell;1.000;10.35;25.0;3,25;BRL
T1001045;A0024;CPF: 273.961.729-18;07-02-2026;ABEV3;B;1.000;10;1.50;0.00;BRL
T1000835;A0346;62.281.527/9844-23;07/02/2026;BBAS3;Venda;5.00;38,4;0,00;3,25;BRL
T1000278;A0301;CPF: 366.944.732-65;06/02/2026;PETR4;venda;1000,0;10;25,00;1.10;BRL
T1000783;A0117; CNPJ	18737077540133 ;07-02-2026;BBAS3;BUY;25;351.2; 1,50 ;0.1;BRL
T1000806;A0002; cpf 59443603489 ;2026-02-04;ITUB4;compra;1.500,00;14,95;2;0,10;BRL
T1000836;A0002;"	18203323731
";04/02/2026;ITUB4;VENDA;1,000.00;122;25.0;3;BRL
T1000789;A0365;"	46186797198
"; 2026-02-04 ;ABEV3;VENDA;5.00;351.2;10.00;3,25;BRL
T1000840;A0178;"	34830355328
";07/02/2026;PETR4;Compra;1,500;122;2;3,25;BRL
T1000772;A0214;CPF: 065.501.424-15;06-02-2026;PETR4;venda;1;10.35;1,5; 0,00 ;BRL
T1000782;A0036;56509838239464; 2026-02-06 ;BOVA11;S;250,00;122.56;2,75;3.25;BRL
T1000832;A0006;560.316.474-35;2026/02/07;VALE3;Compra;250;14.95;10,0;7,50;BRL
T1000911;A0203; CNPJ	41468816502062 ;2026-02-07;WEGE3;SELL;25,0; 122,56 ; 25,00 ;0,38;BRL
T1000820;A0376;55688521031;2026/02/07;BOVA11;VENDA;1;14;10.00;3.25;BRL
T1000790;A0200;726.639.929-76; 2026-02-06 ;WEGE3;buy;25,0; 28,10 ; 1,50 ;3,25;BRL
T1000838;A0313;54706680021866;07/02/2026;WEGE3;BUYSELL;100;38,4;0,0;3;BRL
T1000179;A0039; CNPJ	43821390067081 ;2026-02-07;PETR4;SELL;10,0;52;10.00;3;BRL
