trade_id,account_id,client_document,document_clean,document_type,date,ticker,side,quantity,price,broker_fee,tax,gross_amount,total_costs,net_amount,currency,source_file
T1000829,A0318,11.838.409/2523-34,11838409252334,CNPJ,2026-02-04,BBAS3,SELL,1.0,52.67,25.0,0.0,-52.67,25.0,-77.67,BRL,transactions_20260219.csv
T1000774,A0006,565.146.674-65,56514667465,CPF,2026-02-06,ITUB4,SELL,1.0,30.1293,10.0,3.0,-30.1293,13.0,-43.1293,BRL,transactions_20260219.csv
T1000864,A0201,74.367.136/9594-86,74367136959486,CNPJ,2026-02-04,ABEV3,SELL,100.0,15.11,10.0,7.0,-1511.0,17.0,-1528.0,BRL,transactions_20260219.csv
T1000830,A0088,558.936.442-63,55893644263,CPF,2026-02-07,PETR4,BUY,5.0,35.02,25.0,1.1,175.10000000000002,26.1,149.00000000000003,BRL,transactions_20260219.csv
T1000847,A0199,38.604.561/5960-75,38604561596075,CNPJ,2026-02-06,PETR4,BUY,250.0,35.3945,2.75,3.25,8848.625,6.0,8842.625,BRL,transactions_20260219.csv
T1000842,A0023,115.310.859-38,11531085938,CPF,2026-02-04,BBAS3,BUY,1.0,52.67,1.5,7.5,52.67,9.0,43.67,BRL,transactions_20260219.csv
T1000040,A0047,72.660.047/9249-55,72660047924955,CNPJ,2026-02-05,BOVA11,SELL,5.0,123.84,0.0,0.1,-619.2,0.1,-619.3000000000001,BRL,transactions_20260219.csv
T1001070,A0098,204.700.820-46,20470082046,CPF,2026-02-06,WEGE3,BUY,1.0,38.8391,10.0,7.0,38.8391,17.0,21.839100000000002,BRL,transactions_20260219.csv
T1000890,A0165,34.862.603/6450-85,34862603645085,CNPJ,2026-02-04,ITUB4,BUY,25.0,29.8694,0.0,3.25,746.735,3.25,743.485,BRL,transactions_20260219.csv
T1000784,A0192,412.228.387-61,41222838761,CPF,2026-02-06,BOVA11,SELL,250.0,122.7444,25.0,3.25,-30686.1,28.25,-30714.35,BRL,transactions_20260219.csv
T1000791,A0330,053.480.209-58,05348020958,CPF,2026-02-04,VALE3,SELL,10.0,67.95,0.38,1.1,-679.5,1.48,-680.98,BRL,transactions_20260219.csv
T1000815,A0234,92.818.221/1652-70,92818221165270,CNPJ,2026-02-07,PETR4,SELL,10.0,35.02,0.38,0.38,-350.20000000000005,0.76,-350.96000000000004,BRL,transactions_20260219.csv
T1000816,A0037,326.951.166-32,32695116632,CPF,2026-02-05,ABEV3,SELL,5.0,15.16,0.0,1.0,-75.8,1.0,-76.8,BRL,transactions_20260219.csv
T1000792,A0280,57.163.446/7510-44,57163446751044,CNPJ,2026-02-06,BBAS3,SELL,1500.0,52.0594,1.5,0.0,-78089.09999999999,1.5,-78090.59999999999,BRL,transactions_20260219.csv
T1000804,A0006,54.601.196/7174-00,54601196717400,CNPJ,2026-02-04,ITUB4,BUY,5.0,29.8694,1.5,0.0,149.34699999999998,1.5,147.84699999999998,BRL,transactions_20260219.csv
T1000851,A0279,46.607.758/0290-94,46607758029094,CNPJ,2026-02-05,ITUB4,BUY,10.0,29.84,0.0,3.25,298.4,3.25,295.15,BRL,transactions_20260219.csv
T1000798,A0044,993.837.039-03,99383703903,CPF,2026-02-03,PETR4,SELL,1.5,35.3,1.0,0.0,-52.949999999999996,1.0,-53.949999999999996,BRL,transactions_20260219.csv
T1000801,A0026,015.690.956-12,01569095612,CPF,2026-02-03,ITUB4,BUY,1500.0,29.72,2.75,3.25,44580.0,6.0,44574.0,BRL,transactions_20260219.csv
T1000793,A0048,206.686.655-56,20668665556,CPF,2026-02-05,ITUB4,BUY,250.0,29.84,0.0,1.1,7460.0,1.1,7458.9,BRL,transactions_20260219.csv
T1000800,A0313,691.341.944-95,69134194495,CPF,2026-02-07,VALE3,BUY,1000.0,68.95,25.0,3.25,68950.0,28.25,68921.75,BRL,transactions_20260219.csv
T1000777,A0209,474.498.798-24,47449879824,CPF,2026-02-07,WEGE3,BUY,25.0,38.45,2.75,0.0,961.2500000000001,2.75,958.5000000000001,BRL,transactions_20260219.csv
T1000818,A0303,075.949.902-00,07594990200,CPF,2026-02-07,VALE3,BUY,100.0,68.95,25.0,1.1,6895.0,26.1,6868.9,BRL,transactions_20260219.csv
T1000824,A0021,38.954.100/3541-00,38954100354100,CNPJ,2026-02-04,PETR4,SELL,1.0,35.4455,0.0,0.0,-35.4455,0.0,-35.4455,BRL,transactions_20260219.csv
T1000788,A0171,06.699.813/8795-66,06699813879566,CNPJ,2026-02-03,VALE3,SELL,5.0,69.0294,1.0,7.5,-345.147,8.5,-353.647,BRL,transactions_20260219.csv
T1000806,A0002,594.436.034-89,59443603489,CPF,2026-02-04,ITUB4,BUY,1500.0,29.8694,2.0,0.1,44804.1,2.1,44802.0,BRL,transactions_20260219.csv
T1000783,A0117,18.737.077/5401-33,18737077540133,CNPJ,2026-02-07,BBAS3,BUY,25.0,51.43,1.5,0.1,1285.75,1.6,1284.15,BRL,transactions_20260219.csv
T1000278,A0301,366.944.732-65,36694473265,CPF,2026-02-06,PETR4,SELL,1000.0,35.3945,25.0,1.1,-35394.5,26.1,-35420.6,BRL,transactions_20260219.csv
T1000835,A0346,62.281.527/9844-23,62281527984423,CNPJ,2026-02-07,BBAS3,SELL,5.0,51.43,0.0,3.25,-257.15,3.25,-260.4,BRL,transactions_20260219.csv
T1000848,A0002,39.832.358/7027-30,39832358702730,CNPJ,2026-02-05,BOVA11,SELL,1.0,123.84,25.0,3.25,-123.84,28.25,-152.09,BRL,transactions_20260219.csv
T1000821,A0374,139.003.291-41,13900329141,CPF,2026-02-06,VALE3,BUY,25.0,69.34,2.75,0.0,1733.5,2.75,1730.75,BRL,transactions_20260219.csv
T1000797,A0363,650.957.078-53,65095707853,CPF,2026-02-05,PETR4,SELL,100.0,35.3166,1.5,0.1,-3531.6600000000003,1.6,-3533.26,BRL,transactions_20260219.csv
T1000810,A0074,25.802.194/0386-57,25802194038657,CNPJ,2026-02-05,WEGE3,SELL,25.0,38.75,0.0,7.5,-968.75,7.5,-976.25,BRL,transactions_20260219.csv
T1000839,A0400,753.167.974-42,75316797442,CPF,2026-02-04,ITUB4,SELL,100.0,29.8694,1.5,7.0,-2986.94,8.5,-2995.44,BRL,transactions_20260219.csv
T1000796,A0103,831.446.177-68,83144617768,CPF,2026-02-04,BBAS3,BUY,1500.0,52.67,1.5,0.0,79005.0,1.5,79003.5,BRL,transactions_20260219.csv
T1000776,A0122,74.367.136/9594-86,74367136959486,CNPJ,2026-02-05,ABEV3,BUY,250.0,15.16,10.0,1.1,3790.0,11.1,3778.9,BRL,transactions_20260219.csv
T1001071,A0171,722.320.813-97,72232081397,CPF,2026-02-07,ABEV3,SELL,25.0,15.0,10.0,0.0,-375.0,10.0,-385.0,BRL,transactions_20260219.csv
T1000954,A0276,152.741.599-66,15274159966,CPF,2026-02-05,PETR4,BUY,1.0,35.3166,0.0,3.25,35.3166,3.25,32.0666,BRL,transactions_20260219.csv
T1000833,A0295,51.794.274/5684-12,51794274568412,CNPJ,2026-02-05,WEGE3,BUY,5.0,38.75,1.0,0.38,193.75,1.38,192.37,BRL,transactions_20260219.csv
T1000836,A0002,182.033.237-31,18203323731,CPF,2026-02-04,ITUB4,SELL,1000.0,29.8694,25.0,3.0,-29869.399999999998,28.0,-29897.399999999998,BRL,transactions_20260219.csv
T1000789,A0365,461.867.971-98,46186797198,CPF,2026-02-04,ABEV3,SELL,5.0,15.11,10.0,3.25,-75.55,13.25,-88.8,BRL,transactions_20260219.csv
T1000840,A0178,348.303.553-28,34830355328,CPF,2026-02-07,PETR4,BUY,1.5,35.02,2.0,3.25,52.53,5.25,47.28,BRL,transactions_20260219.csv
T1000772,A0214,065.501.424-15,06550142415,CPF,2026-02-06,PETR4,SELL,1.0,35.3945,1.5,0.0,-35.3945,1.5,-36.8945,BRL,transactions_20260219.csv
T1000832,A0006,560.316.474-35,56031647435,CPF,2026-02-07,VALE3,BUY,250.0,68.95,10.0,7.5,17237.5,17.5,17220.0,BRL,transactions_20260219.csv
T1000911,A0203,41.468.816/5020-62,41468816502062,CNPJ,2026-02-07,WEGE3,SELL,25.0,38.45,25.0,0.38,-961.2500000000001,25.38,-986.6300000000001,BRL,transactions_20260219.csv
T1000820,A0376,556.885.210-31,55688521031,CPF,2026-02-07,BOVA11,SELL,1.0,120.7296,10.0,3.25,-120.7296,13.25,-133.9796,BRL,transactions_20260219.csv
T1000790,A0200,726.639.929-76,72663992976,CPF,2026-02-06,WEGE3,BUY,25.0,38.8391,1.5,3.25,970.9775000000001,4.75,966.2275000000001,BRL,transactions_20260219.csv
T1000179,A0039,43.821.390/0670-81,43821390067081,CNPJ,2026-02-07,PETR4,SELL,10.0,35.02,10.0,3.0,-350.20000000000005,13.0,-363.20000000000005,BRL,transactions_20260219.csv
T1000119,A0142,51.125.513/6503-77,51125513650377,CNPJ,2026-02-07,ITUB4,SELL,1.0,29.39,10.0,7.5,-29.39,17.5,-46.89,BRL,transactions_20260219.csv
T1000803,A0240,548.724.568-15,54872456815,CPF,2026-02-04,ITUB4,BUY,10.0,29.8694,2.75,1.1,298.69399999999996,3.85,294.84399999999994,BRL,transactions_20260219.csv
T1000778,A0116,181.460.913-00,18146091300,CPF,2026-02-06,BBAS3,BUY,25.0,52.0594,2.75,0.0,1301.485,2.75,1298.735,BRL,transactions_20260219.csv
T1000465,A0209,97.329.252/8967-30,97329252896730,CNPJ,2026-02-05,BOVA11,BUY,25.0,123.84,1.5,0.0,3096.0,1.5,3094.5,BRL,transactions_20260219.csv
T1000794,A0076,74.367.136/9594-86,74367136959486,CNPJ,2026-02-05,ABEV3,SELL,25.0,15.16,25.0,0.1,-379.0,25.1,-404.1,BRL,transactions_20260219.csv
T1000169,A0041,890.038.456-20,89003845620,CPF,2026-02-05,ITUB4,BUY,1.0,29.84,1.5,3.25,29.84,4.75,25.09,BRL,transactions_20260219.csv
T1000813,A0036,61.184.162/5605-08,61184162560508,CNPJ,2026-02-03,WEGE3,SELL,25.0,38.97,2.0,3.25,-974.25,5.25,-979.5,BRL,transactions_20260219.csv
T1000805,A0367,12.498.202/5613-82,12498202561382,CNPJ,2026-02-04,WEGE3,BUY,25.0,38.14,2.75,7.0,953.5,9.75,943.75,BRL,transactions_20260219.csv
T1000802,A0240,652.171.032-05,65217103205,CPF,2026-02-03,ABEV3,SELL,100.0,14.83,0.0,1.1,-1483.0,1.1,-1484.1,BRL,transactions_20260219.csv
T1000780,A0124,70.816.965/9908-76,70816965990876,CNPJ,2026-02-04,VALE3,BUY,10.0,67.95,25.0,0.1,679.5,25.1,654.4,BRL,transactions_20260219.csv
T1000351,A0006,14.432.532/2198-05,14432532219805,CNPJ,2026-02-04,WEGE3,BUY,1.0,38.14,10.0,1.1,38.14,11.1,27.04,BRL,transactions_20260219.csv
T1000773,A0358,79.181.989/0931-27,79181989093127,CNPJ,2026-02-06,VALE3,SELL,25.0,69.34,0.0,0.0,-1733.5,0.0,-1733.5,BRL,transactions_20260219.csv
T1000809,A0398,164.312.693-81,16431269381,CPF,2026-02-04,BOVA11,SELL,10.0,123.88,10.0,7.0,-1238.8,17.0,-1255.8,BRL,transactions_20260219.csv
T1000814,A0368,219.248.489-53,21924848953,CPF,2026-02-03,PETR4,SELL,100.0,35.3,25.0,7.5,-3529.9999999999995,32.5,-3562.4999999999995,BRL,transactions_20260219.csv
T1000795,A0352,168.773.647-24,16877364724,CPF,2026-02-03,BOVA11,BUY,250.0,122.18,2.75,7.5,30545.0,10.25,30534.75,BRL,transactions_20260219.csv
T1000785,A0370,756.044.049-50,75604404950,CPF,2026-02-03,VALE3,SELL,1.0,69.0294,1.5,0.38,-69.0294,1.88,-70.90939999999999,BRL,transactions_20260219.csv
T1000175,A0108,30.769.193/8286-64,30769193828664,CNPJ,2026-02-06,ABEV3,SELL,10.0,14.8,10.0,0.0,-148.0,10.0,-158.0,BRL,transactions_20260219.csv
T1000826,A0168,945.160.849-45,94516084945,CPF,2026-02-04,PETR4,BUY,1500.0,35.4455,2.75,0.0,53168.25000000001,2.75,53165.50000000001,BRL,transactions_20260219.csv
T1000026,A0111,77.183.622/3551-70,77183622355170,CNPJ,2026-02-06,PETR4,BUY,1.0,35.3945,25.0,0.1,35.3945,25.1,10.2945,BRL,transactions_20260219.csv
T1000268,A0323,842.729.699-19,84272969919,CPF,2026-02-04,PETR4,BUY,1.0,35.4455,1.5,3.25,35.4455,4.75,30.695500000000003,BRL,transactions_20260219.csv
T1000781,A0127,907.252.872-76,90725287276,CPF,2026-02-05,VALE3,SELL,250.0,68.92,1.5,3.0,-17230.0,4.5,-17234.5,BRL,transactions_20260219.csv
T1000433,A0170,09.564.731/5209-95,09564731520995,CNPJ,2026-02-04,BOVA11,SELL,250.0,123.88,10.0,7.5,-30970.0,17.5,-30987.5,BRL,transactions_20260219.csv
T1000808,A0038,74.367.136/9594-86,74367136959486,CNPJ,2026-02-03,ABEV3,BUY,1.0,14.83,0.0,0.38,14.83,0.38,14.45,BRL,transactions_20260219.csv
T1000787,A0243,287.344.849-06,28734484906,CPF,2026-02-06,PETR4,BUY,1500.0,35.3945,0.0,0.0,53091.75,0.0,53091.75,BRL,transactions_20260219.csv
T1000779,A0341,415.691.535-23,41569153523,CPF,2026-02-03,BOVA11,BUY,10.0,122.18,25.0,0.1,1221.8000000000002,25.1,1196.7000000000003,BRL,transactions_20260219.csv
T1000822,A0034,81.857.299/2573-00,81857299257300,CNPJ,2026-02-04,ABEV3,BUY,250.0,15.11,2.75,3.25,3777.5,6.0,3771.5,BRL,transactions_20260219.csv
T1000799,A0125,54.199.698/0329-34,54199698032934,CNPJ,2026-02-05,BOVA11,BUY,1.0,123.84,0.38,7.0,123.84,7.38,116.46000000000001,BRL,transactions_20260219.csv
T1000849,A0285,627.756.596-67,62775659667,CPF,2026-02-03,VALE3,BUY,25.0,69.0294,0.38,3.25,1725.735,3.63,1722.1049999999998,BRL,transactions_20260219.csv
T1000837,A0122,28.631.834/9832-15,28631834983215,CNPJ,2026-02-06,BOVA11,BUY,1500.0,122.7444,0.38,7.5,184116.6,7.88,184108.72,BRL,transactions_20260219.csv
T1000828,A0136,74.367.136/9594-86,74367136959486,CNPJ,2026-02-06,PETR4,SELL,10.0,35.3945,10.0,1.1,-353.945,11.1,-365.045,BRL,transactions_20260219.csv
T1000775,A0053,74.367.136/9594-86,74367136959486,CNPJ,2026-02-05,BOVA11,SELL,100.0,123.84,0.0,3.25,-12384.0,3.25,-12387.25,BRL,transactions_20260219.csv
T1000708,A0011,072.703.440-51,07270344051,CPF,2026-02-03,BOVA11,SELL,1.0,122.18,0.38,7.5,-122.18,7.88,-130.06,BRL,transactions_20260218.csv
T1000704,A0292,564.007.178-89,56400717889,CPF,2026-02-07,VALE3,BUY,10.0,68.95,10.0,0.1,689.5,10.1,679.4,BRL,transactions_20260218.csv
T1000747,A0310,08.888.162/1624-46,08888162162446,CNPJ,2026-02-04,BBAS3,SELL,1.0,52.67,2.75,0.1,-52.67,2.85,-55.52,BRL,transactions_20260218.csv
T1000702,A0010,41.276.504/5761-74,41276504576174,CNPJ,2026-02-06,BOVA11,BUY,1.5,122.7444,2.0,1.1,184.1166,3.1,181.0166,BRL,transactions_20260218.csv
T1000760,A0081,76.005.142/5512-58,76005142551258,CNPJ,2026-02-07,ABEV3,SELL,25.0,15.0,2.0,3.25,-375.0,5.25,-380.25,BRL,transactions_20260218.csv
T1000762,A0323,65.653.806/8663-42,65653806866342,CNPJ,2026-02-07,ABEV3,BUY,1000.0,15.0,0.0,1.1,15000.0,1.1,14998.9,BRL,transactions_20260218.csv
T1000769,A0314,49.034.293/2998-21,49034293299821,CNPJ,2026-02-06,ITUB4,SELL,100.0,30.1293,10.0,0.1,-3012.9300000000003,10.1,-3023.03,BRL,transactions_20260218.csv
